0,32;1;1;1;11122018;10;1;0;1;0;2;78;2;3;0;0;1;13062018;1;1;3;1;1;2;4;1;3;1;4;3;4;2;4;1;1;1;2;4;1;1;2;3;2;2;4;4;2;1;2;1;2;4;2;2;4;2;4;2;4;3;2
0,33;1;2;0;0;0;4;0;1;1;1;54;2;5;0;0;1;16072018;1;4;2;2;1;1;0;0;0;0;0;4;4;1;4;1;0;1;0;2;0;0;3;4;2;3;3;3;1;0;4;4;3;4;0;0;0;0;0;2;4;1;2
0,34;1;2;0;0;0;4;0;1;1;1;69;4;5;0;0;1;19012018;1;1;1;2;2;1;0;0;0;0;0;3;4;1;2;1;0;1;0;4;0;1;4;4;1;3;1;4;1;0;3;4;3;2;1;0;0;0;0;4;4;1;2
0,35;1;2;0;0;0;4;0;1;1;2;85;2;1;0;0;1;1062018;1;1;2;2;2;2;4;1;3;1;4;4;4;1;4;1;4;1;1;4;2;1;4;4;1;4;3;4;1;4;3;1;1;2;2;2;2;2;2;2;3;2;1
0,36;1;3;0;0;0;6;0;2;0;1;68;2;5;0;0;0;1042018;1;1;1;4;3;4;4;1;4;1;3;1;4;3;1;1;3;2;1;3;4;1;1;4;1;2;1;2;1;3;4;1;4;4;4;1;3;1;1;1;4;1;3
0,37;1;3;0;0;0;6;0;2;0;2;78;0;3;0;0;0;3032016;1;1;1;4;1;4;1;1;4;1;4;1;4;1;4;1;4;1;1;4;1;1;4;4;1;1;1;4;1;1;4;1;1;1;1;1;0;1;1;4;4;1;1
0,38;1;3;0;0;0;6;0;1;2;1;84;4;2;0;0;1;23012018;1;3;2;4;4;3;4;1;3;1;4;4;4;4;3;3;1;2;1;4;4;1;4;4;4;4;1;4;4;4;4;4;3;4;4;1;1;1;4;4;4;1;1
0,39;1;3;0;0;0;6;0;1;3;1;66;2;3;0;0;1;9042018;1;0;4;4;4;4;4;1;0;1;2;4;4;1;4;4;0;1;0;4;1;1;4;3;3;1;1;4;3;1;4;4;4;4;1;1;0;1;1;4;4;1;1
0,4;1;3;0;0;0;6;0;2;0;2;76;2;2;0;0;1;5052018;1;1;1;4;4;4;1;1;4;1;2;1;4;1;4;1;2;1;1;4;1;1;4;4;1;3;1;3;1;3;4;3;4;4;3;1;4;1;1;4;4;1;1
0,41;1;1;1;27122018;10;2;0;1;0;1;84;4;1;0;0;1;12112013;1;2;3;1;2;4;1;1;1;1;1;4;4;4;4;4;1;4;1;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;1;1;4;4;4;4
0,42;1;1;1;17012019;10;2;0;1;0;2;72;2;3;0;0;1;5072018;1;1;1;2;1;1;4;1;2;3;4;4;4;1;4;1;4;1;3;4;4;1;4;4;1;4;3;4;3;3;4;3;3;3;2;3;3;1;4;4;4;1;1
0,43;1;1;1;17012019;10;2;0;1;0;1;70;2;4;0;0;1;9042018;1;2;2;2;1;1;3;1;3;1;3;2;2;3;3;2;3;2;1;3;1;1;3;3;2;3;1;3;2;2;3;2;2;3;2;3;3;2;4;3;3;2;1
0,44;1;1;0;0;0;5;0;1;4;2;82;2;2;0;0;1;0;1;0;1;2;1;1;2;4;4;2;2;3;4;2;4;2;1;1;1;4;1;3;4;3;1;2;4;3;1;3;4;2;2;3;3;3;3;1;3;3;3;3;2
0,45;1;1;0;0;0;5;0;2;0;1;80;4;2;0;0;1;8102018;1;0;2;3;1;2;3;1;1;1;3;3;4;1;4;1;1;1;1;3;1;1;3;2;2;1;2;3;2;1;4;1;1;2;2;1;1;1;1;4;4;2;1
0,46;1;1;1;22012019;15;1;0;1;0;1;73;4;3;0;0;1;11072016;1;1;2;1;1;1;4;1;1;1;4;1;4;1;4;1;0;1;0;0;0;0;4;0;0;0;4;4;2;4;4;4;1;4;3;2;0;1;4;3;4;1;1
0,47;1;1;2;0;0;2;0;1;0;1;74;4;3;0;0;1;16112018;1;1;2;1;1;3;3;1;3;2;4;1;4;1;4;4;2;1;1;3;1;1;2;2;1;2;1;2;2;1;2;1;3;3;1;1;3;1;3;2;4;2;3
0,48;1;1;2;0;0;2;0;1;0;1;75;1;3;0;0;1;24082017;1;1;1;1;1;2;4;1;1;2;3;2;4;1;4;2;1;1;1;3;2;1;3;2;1;4;4;4;1;3;4;2;2;2;2;1;2;3;4;2;4;1;1
0,49;1;1;1;18022019;20;2;0;1;0;2;75;2;3;0;0;1;3042018;1;2;1;1;1;1;1;1;1;2;2;4;4;1;1;1;2;1;1;4;1;1;4;4;1;1;1;1;0;1;4;1;1;1;1;1;1;1;1;3;4;1;1
0,5;1;1;1;18022019;10;2;0;1;0;2;55;4;4;0;0;1;17082011;1;3;3;1;1;3;4;1;4;1;4;1;4;1;4;3;4;1;1;4;1;1;4;4;1;2;1;4;1;1;4;4;4;1;1;1;4;1;4;4;4;1;1
0,51;1;1;2;0;0;2;0;1;0;1;75;4;5;0;0;1;10102017;1;2;2;2;4;2;4;1;4;1;3;2;4;1;3;3;4;1;1;3;2;1;3;4;2;2;2;4;2;2;3;3;3;3;2;1;2;2;3;3;4;2;2
0,52;1;1;2;0;0;2;0;1;0;2;66;2;5;0;0;1;9032017;1;1;2;3;1;1;4;1;4;2;4;2;4;1;4;4;3;1;1;4;2;1;4;4;2;4;1;4;1;2;3;3;3;2;2;1;1;1;4;4;4;1;2
0,53;1;1;2;0;0;2;0;1;0;1;68;2;4;0;0;1;5022019;1;1;3;3;3;3;4;1;2;2;4;2;3;1;3;2;3;2;1;3;2;1;2;4;2;4;3;4;3;4;4;4;4;2;2;1;1;2;4;2;3;3;2
0,54;1;1;2;0;0;2;0;1;0;1;70;1;4;0;0;1;16112017;1;1;3;2;2;2;2;1;3;2;2;2;3;1;3;3;2;1;1;3;2;1;3;3;2;2;2;4;3;2;3;4;3;2;2;1;2;2;2;4;3;0;2
0,55;1;1;2;0;0;2;0;1;0;2;56;2;3;0;0;1;30042017;1;1;1;1;1;2;4;1;3;2;3;2;3;1;4;4;1;1;1;3;2;1;3;2;1;4;1;4;2;1;2;3;3;3;1;1;1;1;4;2;4;2;3
0,56;1;1;2;0;0;2;0;1;0;2;68;2;3;0;0;1;8062018;1;1;3;2;3;1;4;1;3;1;4;3;3;2;4;2;3;4;1;3;3;1;3;4;2;4;2;4;3;2;4;3;3;2;3;1;1;1;4;4;4;2;2
0,57;1;1;1;26022019;10;1;0;1;0;2;80;2;3;0;0;1;8012019;1;1;0;1;1;1;0;0;0;0;0;4;4;0;4;1;0;0;0;4;0;0;4;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;1
0,58;1;1;1;26022019;10;1;0;1;0;2;53;2;4;0;0;1;20122018;1;1;1;3;1;1;4;1;4;1;4;4;4;1;3;2;0;1;1;4;3;1;3;3;1;4;1;4;1;3;4;2;2;2;3;1;3;1;4;4;4;1;1
0,59;1;1;2;0;0;2;0;1;0;2;86;2;3;0;0;1;27032017;1;1;2;2;2;1;4;1;2;1;4;2;4;1;4;3;3;4;1;4;4;1;3;4;3;4;4;4;2;2;4;3;0;0;4;1;3;1;2;4;4;2;1
